country,type,year,month,demand,source,should_plot
BE,industry,2025,2,3.23,entsog,True
BE,industry,2025,3,3.35,entsog,True
BE,industry,2025,4,3.49,entsog,True
BE,industry,2025,5,3.62,entsog,True
BE,industry,2025,6,3.25,entsog,True
BE,industry,2025,7,3.06,entsog,True
BE,industry,2025,8,3.36,entsog,True
BE,industry,2025,9,3.39,entsog,True
BE,industry,2025,10,3.57,entsog,True
BE,industry,2025,11,3.46,entsog,True
BE,industry,2025,12,3.8,entsog,True
BE,industry,2026,1,4.02,entsog,True
BE,industry,2026,2,3.5,entsog,True
BE,industry,2026,3,3.7,entsog,True
BE,power,2019,1,5.79,entsog,True
BE,power,2019,2,4.08,entsog,True
BE,power,2019,3,3.29,entsog,True
BE,power,2019,4,3.42,entsog,True
BE,power,2019,5,3.15,entsog,True
BE,power,2019,6,3.73,entsog,True
BE,power,2019,7,4.14,entsog,True
BE,power,2019,8,3.7,entsog,True
BE,power,2019,9,4.0,entsog,True
BE,power,2019,10,5.32,entsog,True
BE,power,2019,11,5.37,entsog,True
BE,power,2019,12,3.97,entsog,True
BE,power,2020,1,4.98,entsog,True
BE,power,2020,2,3.85,entsog,True
BE,power,2020,3,4.04,entsog,True
BE,power,2020,4,2.8,entsog,True
BE,power,2020,5,3.5,entsog,True
BE,power,2020,6,4.61,entsog,True
BE,power,2020,7,5.75,entsog,True
BE,power,2020,8,5.05,entsog,True
BE,power,2020,9,4.38,entsog,True
BE,power,2020,10,3.92,entsog,True
BE,power,2020,11,4.56,entsog,True
BE,power,2020,12,5.05,entsog,True
BE,power,2021,1,5.1,entsog,True
BE,power,2021,2,3.89,entsog,True
BE,power,2021,3,4.43,entsog,True
BE,power,2021,4,4.36,entsog,True
BE,power,2021,5,2.85,entsog,True
BE,power,2021,6,3.2,entsog,True
BE,power,2021,7,2.48,entsog,True
BE,power,2021,8,2.03,entsog,True
BE,power,2021,9,2.33,entsog,True
BE,power,2021,10,2.39,entsog,True
BE,power,2021,11,4.73,entsog,True
BE,power,2021,12,4.02,entsog,True
BE,power,2022,1,4.41,entsog,True
BE,power,2022,2,2.4,entsog,True
BE,power,2022,3,3.08,entsog,True
BE,power,2022,4,2.21,entsog,True
BE,power,2022,5,2.73,entsog,True
BE,power,2022,6,2.9,entsog,True
BE,power,2022,7,3.76,entsog,True
BE,power,2022,8,4.4,entsog,True
BE,power,2022,9,3.71,entsog,True
BE,power,2022,10,3.95,entsog,True
BE,power,2022,11,2.83,entsog,True
BE,power,2022,12,4.28,entsog,True
BE,power,2023,1,3.54,entsog,True
BE,power,2023,2,3.96,entsog,True
BE,power,2023,3,3.51,entsog,True
BE,power,2023,4,2.61,entsog,True
BE,power,2023,5,2.15,entsog,True
BE,power,2023,6,2.98,entsog,True
BE,power,2023,7,2.37,entsog,True
BE,power,2023,8,2.63,entsog,True
BE,power,2023,9,2.53,entsog,True
BE,power,2023,10,1.89,entsog,True
BE,power,2023,11,2.04,entsog,True
BE,power,2023,12,2.23,entsog,True
BE,power,2024,1,3.13,entsog,True
BE,power,2024,2,1.79,entsog,True
BE,power,2024,3,2.19,entsog,True
BE,power,2024,4,1.63,entsog,True
BE,power,2024,5,1.46,entsog,True
BE,power,2024,6,1.63,entsog,True
BE,power,2024,7,1.51,entsog,True
BE,power,2024,8,1.44,entsog,True
BE,power,2024,9,1.58,entsog,True
BE,power,2024,10,1.79,entsog,True
BE,power,2024,11,3.4,entsog,True
BE,power,2024,12,2.55,entsog,True
BE,power,2025,1,2.81,entsog,True
BE,power,2025,2,3.27,entsog,True
BE,power,2025,3,2.52,entsog,True
BE,power,2025,4,2.2,entsog,True
BE,power,2025,5,1.31,entsog,True
BE,power,2025,6,1.39,entsog,True
BE,power,2025,7,1.92,entsog,True
BE,power,2025,8,1.6,entsog,True
BE,power,2025,9,1.45,entsog,True
BE,power,2025,10,2.61,entsog,True
BE,power,2025,11,2.69,entsog,True
BE,power,2025,12,3.11,entsog,True
BE,power,2026,1,4.87,entsog,True
BE,power,2026,2,2.27,entsog,True
BE,power,2026,3,1.48,entsog,True
BE,total,2019,1,25.87,calculated,True
BE,total,2019,2,19.45,calculated,True
BE,total,2019,3,18.02,calculated,True
BE,total,2019,4,14.28,calculated,True
BE,total,2019,5,13.24,calculated,True
BE,total,2019,6,10.66,calculated,True
BE,total,2019,7,10.29,calculated,True
BE,total,2019,8,9.94,calculated,True
BE,total,2019,9,11.43,calculated,True
BE,total,2019,10,16.21,calculated,True
BE,total,2019,11,21.15,calculated,True
BE,total,2019,12,21.52,calculated,True
BE,total,2020,1,23.09,calculated,True
BE,total,2020,2,20.21,calculated,True
BE,total,2020,3,19.45,calculated,True
BE,total,2020,4,12.04,calculated,True
BE,total,2020,5,11.96,calculated,True
BE,total,2020,6,11.51,calculated,True
BE,total,2020,7,12.68,calculated,True
BE,total,2020,8,11.28,calculated,True
BE,total,2020,9,11.79,calculated,True
BE,total,2020,10,15.62,calculated,True
BE,total,2020,11,18.52,calculated,True
BE,total,2020,12,22.5,calculated,True
BE,total,2021,1,25.47,calculated,True
BE,total,2021,2,21.07,calculated,True
BE,total,2021,3,20.26,calculated,True
BE,total,2021,4,17.93,calculated,True
BE,total,2021,5,13.21,calculated,True
BE,total,2021,6,9.85,calculated,True
BE,total,2021,7,9.3,calculated,True
BE,total,2021,8,9.31,calculated,True
BE,total,2021,9,9.54,calculated,True
BE,total,2021,10,13.18,calculated,True
BE,total,2021,11,19.87,calculated,True
BE,total,2021,12,21.0,calculated,True
BE,total,2022,1,22.93,calculated,True
BE,total,2022,2,17.31,calculated,True
BE,total,2022,3,15.74,calculated,True
BE,total,2022,4,12.73,calculated,True
BE,total,2022,5,10.07,calculated,True
BE,total,2022,6,9.14,calculated,True
BE,total,2022,7,8.97,calculated,True
BE,total,2022,8,9.6,calculated,True
BE,total,2022,9,10.01,calculated,True
BE,total,2022,10,11.66,calculated,True
BE,total,2022,11,13.72,calculated,True
BE,total,2022,12,19.41,calculated,True
BE,total,2023,1,18.97,calculated,True
BE,total,2023,2,17.37,calculated,True
BE,total,2023,3,17.15,calculated,True
BE,total,2023,4,13.11,calculated,True
BE,total,2023,5,9.24,calculated,True
BE,total,2023,6,8.52,calculated,True
BE,total,2023,7,7.9,calculated,True
BE,total,2023,8,8.43,calculated,True
BE,total,2023,9,8.56,calculated,True
BE,total,2023,10,10.42,calculated,True
BE,total,2023,11,15.28,calculated,True
BE,total,2023,12,17.12,calculated,True
BE,total,2024,1,21.08,calculated,True
BE,total,2024,2,14.94,calculated,True
BE,total,2024,3,14.57,calculated,True
BE,total,2024,4,11.98,calculated,True
BE,total,2024,5,8.75,calculated,True
BE,total,2024,6,8.14,calculated,True
BE,total,2024,7,7.4,calculated,True
BE,total,2024,8,7.1,calculated,True
BE,total,2024,9,8.51,calculated,True
BE,total,2024,10,11.12,calculated,True
BE,total,2024,11,17.03,calculated,True
BE,total,2024,12,18.43,calculated,True
BE,total,2025,1,19.72,calculated,True
BE,total,2025,2,18.39,calculated,True
BE,total,2025,3,14.71,calculated,True
BE,total,2025,4,10.92,calculated,True
BE,total,2025,5,8.71,calculated,True
BE,total,2025,6,7.31,calculated,True
BE,total,2025,7,7.37,calculated,True
BE,total,2025,8,7.4,calculated,True
BE,total,2025,9,8.2,calculated,True
BE,total,2025,10,12.31,calculated,True
BE,total,2025,11,15.38,calculated,True
BE,total,2025,12,18.2,calculated,True
BE,total,2026,1,22.61,calculated,True
BE,total,2026,2,15.71,calculated,True
BE,total,2026,3,13.33,calculated,True
BG,power,2019,1,0.54,energy-charts,True
BG,power,2019,2,0.52,energy-charts,True
BG,power,2019,3,0.47,energy-charts,True
BG,power,2019,4,0.43,energy-charts,True
BG,power,2019,5,0.3,energy-charts,True
BG,power,2019,6,0.23,energy-charts,True
BG,power,2019,7,0.25,energy-charts,True
BG,power,2019,8,0.23,energy-charts,True
