country,type,date,demand
AT,power,2020-01-28,151003600.0
AT,power,2020-01-29,131979400.0
AT,power,2020-01-30,146012400.0
AT,power,2020-01-31,100715000.0
AT,power,2020-02-01,67526000.0
AT,power,2020-02-02,49976800.0
AT,power,2020-02-03,115534200.0
AT,power,2020-02-04,122833600.0
AT,power,2020-02-05,88913200.0
AT,power,2020-02-06,94893000.0
AT,power,2020-02-07,106121600.0
AT,power,2020-02-08,89430600.0
AT,power,2020-02-09,48918800.0
AT,power,2020-02-10,52211600.0
AT,power,2020-02-11,50546200.00000001
AT,power,2020-02-12,47321800.0
AT,power,2020-02-13,72678800.0
AT,power,2020-02-14,68933000.0
AT,power,2020-02-15,57565800.0
AT,power,2020-02-16,37916000.0
AT,power,2020-02-17,60057400.0
AT,power,2020-02-18,60805200.0
AT,power,2020-02-19,58756200.0
AT,power,2020-02-20,65030000.0
AT,power,2020-02-21,43264200.0
AT,power,2020-02-22,36697400.0
AT,power,2020-02-23,30041600.0
AT,power,2020-02-24,69106600.0
AT,power,2020-02-25,63209200.0
AT,power,2020-02-26,87408800.0
AT,power,2020-02-27,94051400.0
AT,power,2020-02-28,90019600.0
AT,power,2020-02-29,59842400.0
AT,power,2020-03-01,54309800.0
AT,power,2020-03-02,63808800.0
AT,power,2020-03-03,68649000.0
AT,power,2020-03-04,79905400.0
AT,power,2020-03-05,65464400.0
AT,power,2020-03-06,61745800.0
AT,power,2020-03-07,69153400.0
AT,power,2020-03-08,53182800.0
AT,power,2020-03-09,67158200.0
AT,power,2020-03-10,57837000.0
AT,power,2020-03-11,58671800.0
AT,power,2020-03-12,67710800.0
AT,power,2020-03-13,58197400.0
AT,power,2020-03-14,68799600.0
AT,power,2020-03-15,30917800.0
AT,power,2020-03-16,62910000.0
AT,power,2020-03-17,71774600.0
AT,power,2020-03-18,69473000.0
AT,power,2020-03-19,67517600.0
AT,power,2020-03-20,60260000.0
AT,power,2020-03-21,26200400.0
AT,power,2020-03-22,32220399.999999996
AT,power,2020-03-23,54568800.0
AT,power,2020-03-24,68706400.0
AT,power,2020-03-25,77651000.0
AT,power,2020-03-26,81567200.0
AT,power,2020-03-27,75697400.0
AT,power,2020-03-28,52523200.0
AT,power,2020-03-29,18381200.0
AT,power,2020-03-30,65672200.0
AT,power,2020-03-31,80032800.0
AT,power,2020-04-01,53421400.0
AT,power,2020-04-02,42224400.0
AT,power,2020-04-03,22749400.0
AT,power,2020-04-04,15812400.0
AT,power,2020-04-05,53488800.0
AT,power,2020-04-06,39462200.0
AT,power,2020-04-07,32908199.999999996
AT,power,2020-04-08,32028000.0
AT,power,2020-04-09,57255600.0
AT,power,2020-04-10,38017400.0
AT,power,2020-04-11,23209800.0
AT,power,2020-04-12,12947000.0
AT,power,2020-04-13,412600.0
AT,power,2020-04-14,23174600.000000004
AT,power,2020-04-15,62622400.0
