country,date,demand,type,source
AT,2019-11-14,346478642.08,total,aggm
AT,2019-11-15,284472661.963,total,aggm
AT,2019-11-16,268293078.909,total,aggm
AT,2019-11-17,353037954.97,total,aggm
AT,2019-11-18,378132194.27,total,aggm
AT,2019-11-19,388969204.467,total,aggm
AT,2019-11-20,374090428.855,total,aggm
AT,2019-11-21,329517694.847,total,aggm
AT,2019-11-22,281857187.75,total,aggm
AT,2019-11-23,282087894.938,total,aggm
AT,2019-11-24,369104696.695,total,aggm
AT,2019-11-25,366722468.546,total,aggm
AT,2019-11-26,328648230.508,total,aggm
AT,2019-11-27,310519689.18700004,total,aggm
AT,2019-11-28,323982739.99,total,aggm
AT,2019-11-29,333102656.728,total,aggm
AT,2019-11-30,354306650.658,total,aggm
AT,2019-12-01,394062446.28800005,total,aggm
AT,2019-12-02,439143781.29499996,total,aggm
AT,2019-12-03,446392480.888,total,aggm
AT,2019-12-04,454224517.68700004,total,aggm
AT,2019-12-05,446051496.802,total,aggm
AT,2019-12-06,359948798.737,total,aggm
AT,2019-12-07,324008497.781,total,aggm
AT,2019-12-08,414832225.38600004,total,aggm
AT,2019-12-09,403081328.844,total,aggm
AT,2019-12-10,442524812.852,total,aggm
AT,2019-12-11,457813247.565,total,aggm
AT,2019-12-12,439293158.341,total,aggm
AT,2019-12-13,365687286.65400004,total,aggm
AT,2019-12-14,344757541.16700006,total,aggm
AT,2019-12-15,396166614.982,total,aggm
AT,2019-12-16,359905864.60700005,total,aggm
AT,2019-12-17,347694962.74,total,aggm
AT,2019-12-18,325008692.62299997,total,aggm
AT,2019-12-19,278965763.094,total,aggm
AT,2019-12-20,274367954.24600005,total,aggm
AT,2019-12-21,289105243.44299996,total,aggm
AT,2019-12-22,296911010.597,total,aggm
AT,2019-12-23,282698040.115,total,aggm
AT,2019-12-24,265223655.032,total,aggm
AT,2019-12-25,310321855.59,total,aggm
AT,2019-12-26,342705689.825,total,aggm
AT,2019-12-27,353717252.798,total,aggm
AT,2019-12-28,366340061.856,total,aggm
AT,2019-12-29,394194783.348,total,aggm
AT,2019-12-30,357447516.91400003,total,aggm
AT,2019-12-31,351123608.63199997,total,aggm
AT,2020-01-01,397982189.057,total,aggm
AT,2020-01-02,435579244.097,total,aggm
AT,2020-01-03,354683762.686,total,aggm
AT,2020-01-04,377980646.66300005,total,aggm
AT,2020-01-05,438993630.522,total,aggm
