Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
11/11/2024 00:00:00,11/11/2024,"NTS Energy Offtaken, Powerstations Total",530364741,12/11/2024 12:01:01,A
10/11/2024 00:00:00,10/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",52142124,13/11/2024 12:01:00,A
10/11/2024 00:00:00,10/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1425629135,12/11/2024 12:01:01,A
10/11/2024 00:00:00,10/11/2024,"NTS Energy Offtaken, Powerstations Total",512675054,14/11/2024 12:01:01,A
09/11/2024 00:00:00,09/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",66136052,13/11/2024 12:01:00,A
09/11/2024 00:00:00,09/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1490264771,12/11/2024 12:01:01,A
09/11/2024 00:00:00,09/11/2024,"NTS Energy Offtaken, Powerstations Total",666602532,11/11/2024 12:01:01,A
08/11/2024 00:00:00,08/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",56440999,12/11/2024 14:01:00,A
08/11/2024 00:00:00,08/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1527742073,12/11/2024 12:01:01,A
08/11/2024 00:00:00,08/11/2024,"NTS Energy Offtaken, Powerstations Total",721473252,11/11/2024 16:01:00,A
07/11/2024 00:00:00,07/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",35841850,11/11/2024 14:01:01,A
07/11/2024 00:00:00,07/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1415491573,08/11/2024 14:01:01,A
07/11/2024 00:00:00,07/11/2024,"NTS Energy Offtaken, Powerstations Total",680846771,10/11/2024 14:01:01,A
06/11/2024 00:00:00,06/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",50736232,11/11/2024 14:01:01,A
06/11/2024 00:00:00,06/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1351338286,08/11/2024 14:01:01,A
06/11/2024 00:00:00,06/11/2024,"NTS Energy Offtaken, Powerstations Total",819299362,08/11/2024 14:01:01,A
05/11/2024 00:00:00,05/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",53186632,06/11/2024 16:01:01,A
05/11/2024 00:00:00,05/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1412816680,08/11/2024 14:01:01,A
05/11/2024 00:00:00,05/11/2024,"NTS Energy Offtaken, Powerstations Total",883406705,06/11/2024 12:01:00,A
04/11/2024 00:00:00,04/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",47839687,06/11/2024 12:01:00,A
04/11/2024 00:00:00,04/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1345417261,08/11/2024 14:01:01,A
04/11/2024 00:00:00,04/11/2024,"NTS Energy Offtaken, Powerstations Total",891717717,05/11/2024 12:01:00,A
03/11/2024 00:00:00,03/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",44258700,04/11/2024 14:01:00,A
03/11/2024 00:00:00,03/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1192306303,04/11/2024 14:01:00,A
03/11/2024 00:00:00,03/11/2024,"NTS Energy Offtaken, Powerstations Total",655807984,04/11/2024 12:01:00,A
02/11/2024 00:00:00,02/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",45416133,04/11/2024 12:01:00,A
02/11/2024 00:00:00,02/11/2024,"NTS Energy Offtaken, LDZ Offtake Total",1133546763,04/11/2024 16:01:00,A
02/11/2024 00:00:00,02/11/2024,"NTS Energy Offtaken, Powerstations Total",547944543,03/11/2024 12:01:01,A
01/11/2024 00:00:00,01/11/2024,"NTS Energy Offtaken, Industrial Offtake Total",43741033,06/11/2024 16:01:01,A
