Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
21/03/2025 00:00:00,21/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",25955396,25/03/2025 12:01:00,A
21/03/2025 00:00:00,21/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1263987486,24/03/2025 17:01:01,A
21/03/2025 00:00:00,21/03/2025,"NTS Energy Offtaken, Powerstations Total",188993608,25/03/2025 12:01:00,A
20/03/2025 00:00:00,20/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",27066933,25/03/2025 12:01:00,A
20/03/2025 00:00:00,20/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1280472976,22/03/2025 12:01:00,A
20/03/2025 00:00:00,20/03/2025,"NTS Energy Offtaken, Powerstations Total",482950662,21/03/2025 14:01:01,A
19/03/2025 00:00:00,19/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",41279497,20/03/2025 14:01:00,A
19/03/2025 00:00:00,19/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1673345279,21/03/2025 14:01:01,A
19/03/2025 00:00:00,19/03/2025,"NTS Energy Offtaken, Powerstations Total",749446200,21/03/2025 16:01:01,A
18/03/2025 00:00:00,18/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",27997038,20/03/2025 14:01:00,A
18/03/2025 00:00:00,18/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1849178913,22/03/2025 16:01:00,A
18/03/2025 00:00:00,18/03/2025,"NTS Energy Offtaken, Powerstations Total",495505365,20/03/2025 16:01:00,A
17/03/2025 00:00:00,17/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",28951840,20/03/2025 14:01:00,A
17/03/2025 00:00:00,17/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",2041894491,19/03/2025 14:01:01,A
17/03/2025 00:00:00,17/03/2025,"NTS Energy Offtaken, Powerstations Total",600162743,21/03/2025 12:01:01,A
16/03/2025 00:00:00,16/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",27632962,20/03/2025 14:01:00,A
16/03/2025 00:00:00,16/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1877237162,19/03/2025 12:01:01,A
16/03/2025 00:00:00,16/03/2025,"NTS Energy Offtaken, Powerstations Total",460864769,21/03/2025 14:01:01,A
15/03/2025 00:00:00,15/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",28107794,20/03/2025 14:01:00,A
15/03/2025 00:00:00,15/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1877020020,19/03/2025 12:01:01,A
15/03/2025 00:00:00,15/03/2025,"NTS Energy Offtaken, Powerstations Total",492923267,20/03/2025 14:01:00,A
14/03/2025 00:00:00,14/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",40033080,17/03/2025 12:01:01,A
14/03/2025 00:00:00,14/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",2022827828,19/03/2025 12:01:01,A
14/03/2025 00:00:00,14/03/2025,"NTS Energy Offtaken, Powerstations Total",786267173,19/03/2025 12:01:01,A
13/03/2025 00:00:00,13/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",55014713,15/03/2025 12:01:01,A
13/03/2025 00:00:00,13/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",2136239271,18/03/2025 14:01:01,A
13/03/2025 00:00:00,13/03/2025,"NTS Energy Offtaken, Powerstations Total",801292851,15/03/2025 12:01:01,A
12/03/2025 00:00:00,12/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",43206673,15/03/2025 12:01:01,A
12/03/2025 00:00:00,12/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",2019476101,14/03/2025 16:01:00,A
12/03/2025 00:00:00,12/03/2025,"NTS Energy Offtaken, Powerstations Total",697436915,14/03/2025 16:01:00,A
11/03/2025 00:00:00,11/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",29558069,15/03/2025 12:01:01,A
11/03/2025 00:00:00,11/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1834525450,12/03/2025 14:01:01,A
11/03/2025 00:00:00,11/03/2025,"NTS Energy Offtaken, Powerstations Total",658171072,13/03/2025 14:01:00,A
10/03/2025 00:00:00,10/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",29192761,15/03/2025 12:01:01,A
10/03/2025 00:00:00,10/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1552156210,13/03/2025 16:01:00,A
10/03/2025 00:00:00,10/03/2025,"NTS Energy Offtaken, Powerstations Total",498684555,13/03/2025 14:01:00,A
09/03/2025 00:00:00,09/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",29739947,14/03/2025 12:01:00,A
09/03/2025 00:00:00,09/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1203535299,12/03/2025 12:01:01,A
09/03/2025 00:00:00,09/03/2025,"NTS Energy Offtaken, Powerstations Total",484849755,11/03/2025 16:01:01,A
08/03/2025 00:00:00,08/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",29003912,11/03/2025 12:01:00,A
08/03/2025 00:00:00,08/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1140268465,11/03/2025 14:01:00,A
08/03/2025 00:00:00,08/03/2025,"NTS Energy Offtaken, Powerstations Total",276324610,11/03/2025 12:01:00,A
07/03/2025 00:00:00,07/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",31663144,12/03/2025 14:01:01,A
07/03/2025 00:00:00,07/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1354064711,11/03/2025 14:01:00,A
07/03/2025 00:00:00,07/03/2025,"NTS Energy Offtaken, Powerstations Total",561495811,12/03/2025 14:01:01,A
06/03/2025 00:00:00,06/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",29993017,10/03/2025 14:01:00,A
06/03/2025 00:00:00,06/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1514117422,11/03/2025 14:01:00,A
06/03/2025 00:00:00,06/03/2025,"NTS Energy Offtaken, Powerstations Total",301076352,07/03/2025 14:01:00,A
05/03/2025 00:00:00,05/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",29402652,08/03/2025 12:01:00,A
05/03/2025 00:00:00,05/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1720111420,07/03/2025 16:01:01,A
05/03/2025 00:00:00,05/03/2025,"NTS Energy Offtaken, Powerstations Total",341597774,06/03/2025 14:01:01,A
04/03/2025 00:00:00,04/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",29836093,06/03/2025 12:01:01,A
04/03/2025 00:00:00,04/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1803440774,06/03/2025 12:01:01,A
04/03/2025 00:00:00,04/03/2025,"NTS Energy Offtaken, Powerstations Total",421303149,06/03/2025 14:01:01,A
03/03/2025 00:00:00,03/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",33055964,04/03/2025 16:01:01,A
03/03/2025 00:00:00,03/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1888787264,07/03/2025 16:01:01,A
03/03/2025 00:00:00,03/03/2025,"NTS Energy Offtaken, Powerstations Total",585529902,04/03/2025 12:01:01,A
02/03/2025 00:00:00,02/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",33543746,04/03/2025 12:01:01,A
02/03/2025 00:00:00,02/03/2025,"NTS Energy Offtaken, LDZ Offtake Total",1875972818,04/03/2025 12:01:01,A
02/03/2025 00:00:00,02/03/2025,"NTS Energy Offtaken, Powerstations Total",318129817,04/03/2025 12:01:01,A
01/03/2025 00:00:00,01/03/2025,"NTS Energy Offtaken, Industrial Offtake Total",35112358,03/03/2025 14:01:01,A
