country,date,demand,type
DK,2023-12-08,11168600.0,power
SK,2023-12-08,8099200.0,power
LT,2023-12-08,7593900.0,power
GR,2023-12-08,50346000.0,power
RO,2023-12-09,42774400.0,power
GR,2023-12-09,35347000.0,power
AT,2023-12-09,28333000.0,power
DK,2023-12-09,9011500.0,power
EE,2023-12-09,146700.0,power
SI,2023-12-09,1734500.0,power
FI,2023-12-09,5398100.0,power
IE,2023-12-09,10440000.0,power
LT,2023-12-09,1631700.0,power
BE,2023-12-09,17163900.0,power
LV,2023-12-09,10719000.0,power
NL,2023-12-09,31816850.0,power
PL,2023-12-09,51576100.0,power
HU,2023-12-09,15231150.0,power
DE,2023-12-09,130538275.0,power
CZ,2023-12-09,6887800.0,power
PT,2023-12-09,7307000.0,power
FR,2023-12-09,49491000.0,power
ES,2023-12-09,70227000.0,power
UK,2023-12-09,5281600.0,power
LU,2023-12-09,301600.0,power
IT,2023-12-09,240093000.0,power
BG,2023-12-09,8020900.0,power
HR,2023-12-09,6909200.0,power
SE,2023-12-09,2200.0,power
SK,2023-12-09,7957500.0,power
NL,2023-12-10,27558100.000000004,power
FR,2023-12-10,45417000.0,power
BE,2023-12-10,17201400.0,power
GR,2023-12-10,39787000.0,power
CZ,2023-12-10,6478500.0,power
RO,2023-12-10,42749600.0,power
UK,2023-12-10,5488300.0,power
SE,2023-12-10,2100.0,power
IE,2023-12-10,12703200.0,power
LT,2023-12-10,1078200.0,power
BG,2023-12-10,7870700.0,power
HU,2023-12-10,15548425.0,power
SK,2023-12-10,3216700.0,power
PT,2023-12-10,3959200.0,power
FI,2023-12-10,4730700.0,power
HR,2023-12-10,6908400.0,power
AT,2023-12-10,24009500.0,power
DE,2023-12-10,100114850.0,power
LV,2023-12-10,10211000.0,power
PL,2023-12-10,39769100.0,power
IT,2023-12-10,128600000.0,power
SI,2023-12-10,1745100.0000000002,power
ES,2023-12-10,76561000.0,power
DK,2023-12-10,7443200.0,power
EE,2023-12-10,148500.0,power
LU,2023-12-10,279425.0,power
HR,2023-12-11,7996000.0,power
RO,2023-12-11,42473675.0,power
EE,2023-12-11,151800.0,power
DE,2023-12-11,138923000.0,power
DK,2023-12-11,10512700.0,power
GR,2023-12-11,55611000.0,power
PT,2023-12-11,24837900.0,power
BE,2023-12-11,32482400.0,power
LU,2023-12-11,359475.0,power
PL,2023-12-11,52180400.0,power
LT,2023-12-11,8752700.0,power
HU,2023-12-11,22012700.0,power
BG,2023-12-11,7961100.0,power
CZ,2023-12-11,6902800.0,power
AT,2023-12-11,45159200.0,power
SE,2023-12-11,1800.0,power
NL,2023-12-11,78954700.0,power
FI,2023-12-11,11961900.0,power
IE,2023-12-11,31007800.0,power
LV,2023-12-11,10481000.0,power
ES,2023-12-11,106352000.0,power
SI,2023-12-11,1695300.0,power
SK,2023-12-11,6187800.0,power
IT,2023-12-11,335616000.0,power
UK,2023-12-11,6954450.0,power
FR,2023-12-11,103101000.0,power
GR,2023-12-12,64401000.0,power
FR,2023-12-12,105223000.0,power
SE,2023-12-12,1500.0,power
CZ,2023-12-12,18648200.0,power
UK,2023-12-12,7684550.0,power
PL,2023-12-12,55049500.0,power
SK,2023-12-12,9060200.0,power
SI,2023-12-12,1719900.0,power
LV,2023-12-12,11124000.0,power
ES,2023-12-12,96414000.0,power
IE,2023-12-12,31470000.0,power
LT,2023-12-12,9584400.0,power
HU,2023-12-12,23217925.0,power
DE,2023-12-12,220461450.0,power
EE,2023-12-12,153800.0,power
PT,2023-12-12,7316100.0,power
HR,2023-12-12,9902000.0,power
BG,2023-12-12,8005900.0,power
IT,2023-12-12,374378000.0,power
DK,2023-12-12,10158800.0,power
RO,2023-12-12,42107650.0,power
NL,2023-12-12,138106000.0,power
BE,2023-12-12,37426600.0,power
LU,2023-12-12,331800.0,power
AT,2023-12-12,54862100.0,power
FI,2023-12-12,12657200.0,power
PT,2023-12-13,5557000.0,power
HU,2023-12-13,28619125.0,power
FR,2023-12-13,142102000.0,power
LU,2023-12-13,330550.0,power
IT,2023-12-13,337575000.0,power
DE,2023-12-13,210134050.0,power
CZ,2023-12-13,17713400.0,power
FI,2023-12-13,11934500.0,power
LV,2023-12-13,10504000.0,power
PL,2023-12-13,55463400.0,power
IE,2023-12-13,28448500.0,power
BE,2023-12-13,37827100.0,power
GR,2023-12-13,46393000.0,power
RO,2023-12-13,42396750.0,power
SI,2023-12-13,1728700.0,power
BG,2023-12-13,8286200.000000001,power
ES,2023-12-13,88404000.0,power
AT,2023-12-13,48044200.0,power
DK,2023-12-13,10868100.0,power
HR,2023-12-13,10297200.0,power
SK,2023-12-13,9400100.0,power
EE,2023-12-13,155400.0,power
LT,2023-12-13,8000000.0,power
SE,2023-12-13,11600.0,power
NL,2023-12-13,125404000.0,power
UK,2023-12-13,6947450.0,power
UK,2023-12-14,6408750.0,power
DK,2023-12-14,12327200.0,power
HU,2023-12-14,29143700.0,power
SE,2023-12-14,48900.0,power
DE,2023-12-14,243754125.0,power
RO,2023-12-14,42369475.0,power
IT,2023-12-14,396262000.0,power
SI,2023-12-14,1789500.0,power
PT,2023-12-14,14676700.0,power
FI,2023-12-14,10733300.0,power
GR,2023-12-14,36149000.0,power
FR,2023-12-14,157542000.0,power
SK,2023-12-14,9836700.0,power
EE,2023-12-14,153500.0,power
HR,2023-12-14,10314000.0,power
BE,2023-12-14,63140400.0,power
LU,2023-12-14,314175.0,power
IE,2023-12-14,32294300.0,power
AT,2023-12-14,55182000.0,power
NL,2023-12-14,160813375.0,power
ES,2023-12-14,107225000.0,power
LT,2023-12-14,7466200.0,power
LV,2023-12-14,10802000.0,power
PL,2023-12-14,56277100.0,power
CZ,2023-12-14,18414000.0,power
BG,2023-12-14,8301000.0,power
HR,2023-12-15,10283600.0,power
LT,2023-12-15,8153900.000000001,power
SE,2023-12-15,2100.0,power
HU,2023-12-15,20613875.0,power
