"Name","Location","Date","Value","Unit"
"DM","DM",2019-10-27,8515733,"kWh"
"DM","DM",2019-10-28,9550622,"kWh"
"DM","DM",2019-10-29,11019421,"kWh"
"DM","DM",2019-10-30,11017659,"kWh"
"DM","DM",2019-10-31,10483802,"kWh"
"DM","DM",2019-11-01,9605159,"kWh"
"DM","DM",2019-11-02,8146825,"kWh"
"DM","DM",2019-11-03,7692659,"kWh"
"DM","DM",2019-11-04,10831587,"kWh"
"DM","DM",2019-11-05,11487147,"kWh"
"DM","DM",2019-11-06,11699284,"kWh"
"DM","DM",2019-11-07,11734520,"kWh"
"DM","DM",2019-11-08,11465562,"kWh"
"DM","DM",2019-11-09,9227857,"kWh"
"DM","DM",2019-11-10,9029830,"kWh"
"DM","DM",2019-11-11,12382674,"kWh"
"DM","DM",2019-11-12,12480203,"kWh"
"DM","DM",2019-11-13,12412774,"kWh"
"DM","DM",2019-11-14,12771310,"kWh"
"DM","DM",2019-11-15,12464925,"kWh"
"DM","DM",2019-11-16,10298949,"kWh"
"DM","DM",2019-11-17,9641642,"kWh"
"DM","DM",2019-11-18,12733547,"kWh"
"DM","DM",2019-11-19,12017185,"kWh"
"DM","DM",2019-11-20,11840594,"kWh"
"DM","DM",2019-11-21,11786579,"kWh"
"DM","DM",2019-11-22,11526796,"kWh"
"DM","DM",2019-11-23,8780284,"kWh"
"DM","DM",2019-11-24,8131214,"kWh"
"DM","DM",2019-11-25,10627035,"kWh"
"DM","DM",2019-11-26,11100172,"kWh"
"DM","DM",2019-11-27,11349638,"kWh"
"DM","DM",2019-11-28,11517973,"kWh"
"DM","DM",2019-11-29,11614577,"kWh"
"DM","DM",2019-11-30,9244678,"kWh"
"DM","DM",2019-12-01,9244071,"kWh"
"DM","DM",2019-12-02,12802493,"kWh"
"DM","DM",2019-12-03,12200324,"kWh"
"DM","DM",2019-12-04,11660087,"kWh"
"DM","DM",2019-12-05,11290719,"kWh"
"DM","DM",2019-12-06,11049617,"kWh"
"DM","DM",2019-12-07,8699562,"kWh"
"DM","DM",2019-12-08,8946031,"kWh"
"DM","DM",2019-12-09,12177399,"kWh"
"DM","DM",2019-12-10,11839036,"kWh"
"DM","DM",2019-12-11,12995834,"kWh"
"DM","DM",2019-12-12,12228884,"kWh"
"DM","DM",2019-12-13,11978896,"kWh"
"DM","DM",2019-12-14,10233866,"kWh"
"DM","DM",2019-12-15,9712542,"kWh"
"DM","DM",2019-12-16,12827915,"kWh"
"DM","DM",2019-12-17,12695703,"kWh"
"DM","DM",2019-12-18,11488749,"kWh"
"DM","DM",2019-12-19,11116361,"kWh"
"DM","DM",2019-12-20,10826522,"kWh"
"DM","DM",2019-12-21,9082468,"kWh"
"DM","DM",2019-12-22,8261669,"kWh"
"DM","DM",2019-12-23,9262819,"kWh"
"DM","DM",2019-12-24,7776011,"kWh"
"DM","DM",2019-12-25,7029218,"kWh"
"DM","DM",2019-12-26,6668760,"kWh"
"DM","DM",2019-12-27,7770465,"kWh"
"DM","DM",2019-12-28,6650990,"kWh"
"DM","DM",2019-12-29,6468422,"kWh"
"DM","DM",2019-12-30,8163605,"kWh"
"DM","DM",2019-12-31,8047646,"kWh"
"DM","DM",2020-01-01,7990068,"kWh"
"DM","DM",2020-01-02,10479285,"kWh"
"DM","DM",2020-01-03,11098762,"kWh"
"DM","DM",2020-01-04,8888172,"kWh"
"DM","DM",2020-01-05,8217652,"kWh"
"DM","DM",2020-01-06,11221505,"kWh"
"DM","DM",2020-01-07,10655375,"kWh"
"DM","DM",2020-01-08,11699857,"kWh"
"DM","DM",2020-01-09,12440077,"kWh"
"DM","DM",2020-01-10,11237160,"kWh"
"DM","DM",2020-01-11,8598628,"kWh"
"DM","DM",2020-01-12,8972359,"kWh"
"DM","DM",2020-01-13,11905393,"kWh"
"DM","DM",2020-01-14,12587617,"kWh"
"DM","DM",2020-01-15,12290283,"kWh"
"DM","DM",2020-01-16,11809313,"kWh"
"DM","DM",2020-01-17,12400630,"kWh"
"DM","DM",2020-01-18,10486485,"kWh"
"DM","DM",2020-01-19,9805315,"kWh"
"DM","DM",2020-01-20,12548746,"kWh"
"DM","DM",2020-01-21,12317654,"kWh"
"DM","DM",2020-01-22,11621549,"kWh"
"DM","DM",2020-01-23,11952131,"kWh"
"DM","DM",2020-01-24,11302888,"kWh"
"DM","DM",2020-01-25,8791565,"kWh"
"DM","DM",2020-01-26,8984567,"kWh"
