date,demand,idt
2019-08-24,39245779.0,be-tso-0001dis-00191exit
2019-08-25,37938871.0,be-tso-0001dis-00191exit
2019-08-26,52045325.0,be-tso-0001dis-00191exit
2019-08-27,52834565.0,be-tso-0001dis-00191exit
2019-08-28,55000633.0,be-tso-0001dis-00191exit
2019-08-29,56347762.0,be-tso-0001dis-00191exit
2019-08-30,52661674.0,be-tso-0001dis-00191exit
2019-08-31,39116333.0,be-tso-0001dis-00191exit
2019-09-01,41641830.0,be-tso-0001dis-00191exit
2019-09-02,59016156.0,be-tso-0001dis-00191exit
2019-09-03,62670660.0,be-tso-0001dis-00191exit
2019-09-04,64962081.0,be-tso-0001dis-00191exit
2019-09-05,72161515.0,be-tso-0001dis-00191exit
2019-09-06,70254838.0,be-tso-0001dis-00191exit
2019-09-07,56955785.0,be-tso-0001dis-00191exit
2019-09-08,60465460.0,be-tso-0001dis-00191exit
2019-09-09,79845690.0,be-tso-0001dis-00191exit
2019-09-10,77757988.0,be-tso-0001dis-00191exit
2019-09-11,78974057.0,be-tso-0001dis-00191exit
2019-09-12,68545587.0,be-tso-0001dis-00191exit
2019-09-13,63954891.0,be-tso-0001dis-00191exit
2019-09-14,50595772.0,be-tso-0001dis-00191exit
2019-09-15,49538937.0,be-tso-0001dis-00191exit
2019-09-16,67004970.0,be-tso-0001dis-00191exit
2019-09-17,72378904.0,be-tso-0001dis-00191exit
2019-09-18,79333130.0,be-tso-0001dis-00191exit
2019-09-19,82671754.0,be-tso-0001dis-00191exit
2019-09-20,78166580.0,be-tso-0001dis-00191exit
2019-09-21,55561823.0,be-tso-0001dis-00191exit
2019-09-22,48928877.0,be-tso-0001dis-00191exit
2019-09-23,67895032.0,be-tso-0001dis-00191exit
2019-09-24,0.0,be-tso-0001dis-00191exit
2019-09-25,82129699.0,be-tso-0001dis-00191exit
2019-09-26,83113142.0,be-tso-0001dis-00191exit
2019-09-27,77625438.0,be-tso-0001dis-00191exit
2019-09-28,69324255.0,be-tso-0001dis-00191exit
2019-09-29,74588435.0,be-tso-0001dis-00191exit
2019-09-30,88893641.0,be-tso-0001dis-00191exit
2019-10-01,93743847.0,be-tso-0001dis-00191exit
2019-10-02,112116250.0,be-tso-0001dis-00191exit
2019-10-03,126273396.0,be-tso-0001dis-00191exit
2019-10-04,122357522.0,be-tso-0001dis-00191exit
2019-10-05,111669070.0,be-tso-0001dis-00191exit
2019-10-06,116658487.0,be-tso-0001dis-00191exit
2019-10-07,133583754.0,be-tso-0001dis-00191exit
2019-10-08,128176436.0,be-tso-0001dis-00191exit
2019-10-09,139145753.0,be-tso-0001dis-00191exit
2019-10-10,129643832.0,be-tso-0001dis-00191exit
2019-10-11,122520175.0,be-tso-0001dis-00191exit
2019-10-12,89660575.0,be-tso-0001dis-00191exit
2019-10-13,75745814.0,be-tso-0001dis-00191exit
2019-10-14,90371654.0,be-tso-0001dis-00191exit
2019-10-15,104637219.0,be-tso-0001dis-00191exit
2019-10-16,124589910.0,be-tso-0001dis-00191exit
2019-10-17,115810143.0,be-tso-0001dis-00191exit
2019-10-18,122192287.0,be-tso-0001dis-00191exit
2019-10-19,110279214.0,be-tso-0001dis-00191exit
2019-10-20,121628962.0,be-tso-0001dis-00191exit
2019-10-21,139709428.0,be-tso-0001dis-00191exit
2019-10-22,132109625.0,be-tso-0001dis-00191exit
2019-10-23,124315940.0,be-tso-0001dis-00191exit
2019-10-24,111798511.0,be-tso-0001dis-00191exit
2019-10-25,115729559.0,be-tso-0001dis-00191exit
2019-10-26,89927668.0,be-tso-0001dis-00191exit
2019-10-27,122432413.0,be-tso-0001dis-00191exit
2019-10-28,164033410.0,be-tso-0001dis-00191exit
2019-10-29,169698358.0,be-tso-0001dis-00191exit
2019-10-30,202211180.0,be-tso-0001dis-00191exit
2019-10-31,200001444.0,be-tso-0001dis-00191exit
2019-11-01,160317082.0,be-tso-0001dis-00191exit
2019-11-02,129784662.0,be-tso-0001dis-00191exit
2019-11-03,141303177.0,be-tso-0001dis-00191exit
2019-11-04,164207321.0,be-tso-0001dis-00191exit
2019-11-05,173449159.0,be-tso-0001dis-00191exit
2019-11-06,173601768.0,be-tso-0001dis-00191exit
2019-11-07,196330311.0,be-tso-0001dis-00191exit
2019-11-08,202669103.0,be-tso-0001dis-00191exit
2019-11-09,193187302.0,be-tso-0001dis-00191exit
2019-11-10,195044054.0,be-tso-0001dis-00191exit
2019-11-11,218175355.0,be-tso-0001dis-00191exit
2019-11-12,239376802.0,be-tso-0001dis-00191exit
2019-11-13,231358311.0,be-tso-0001dis-00191exit
2019-11-14,240504033.0,be-tso-0001dis-00191exit
2019-11-15,250298003.0,be-tso-0001dis-00191exit
2019-11-16,222132949.0,be-tso-0001dis-00191exit
2019-11-17,218210527.0,be-tso-0001dis-00191exit
2019-11-18,248278335.0,be-tso-0001dis-00191exit
2019-11-19,251700589.0,be-tso-0001dis-00191exit
2019-11-20,277433442.0,be-tso-0001dis-00191exit
2019-11-21,283709242.0,be-tso-0001dis-00191exit
2019-11-22,223194442.0,be-tso-0001dis-00191exit
2019-11-23,201164231.0,be-tso-0001dis-00191exit
2019-11-24,198457328.0,be-tso-0001dis-00191exit
2019-11-25,207709283.0,be-tso-0001dis-00191exit
2019-11-26,193126653.0,be-tso-0001dis-00191exit
2019-11-27,193347129.0,be-tso-0001dis-00191exit
2019-11-28,201792755.0,be-tso-0001dis-00191exit
2019-11-29,213687429.0,be-tso-0001dis-00191exit
2019-11-30,226021344.0,be-tso-0001dis-00191exit
2019-12-01,259018661.0,be-tso-0001dis-00191exit
2019-12-02,274763299.0,be-tso-0001dis-00191exit
2019-12-03,276406999.0,be-tso-0001dis-00191exit
2019-12-04,287628605.0,be-tso-0001dis-00191exit
2019-12-05,308249756.0,be-tso-0001dis-00191exit
2019-12-06,273930770.0,be-tso-0001dis-00191exit
2019-12-07,206535948.0,be-tso-0001dis-00191exit
2019-12-08,203286573.0,be-tso-0001dis-00191exit
2019-12-09,254835066.0,be-tso-0001dis-00191exit
2019-12-10,227433758.0,be-tso-0001dis-00191exit
2019-12-11,253708547.0,be-tso-0001dis-00191exit
2019-12-12,269697918.0,be-tso-0001dis-00191exit
2019-12-13,255436200.0,be-tso-0001dis-00191exit
2019-12-14,230786494.0,be-tso-0001dis-00191exit
2019-12-15,219061309.0,be-tso-0001dis-00191exit
2019-12-16,232116264.0,be-tso-0001dis-00191exit
2019-12-17,200951276.0,be-tso-0001dis-00191exit
2019-12-18,213390490.0,be-tso-0001dis-00191exit
2019-12-19,185862076.0,be-tso-0001dis-00191exit
2019-12-20,182929872.0,be-tso-0001dis-00191exit
2019-12-21,186310339.0,be-tso-0001dis-00191exit
2019-12-22,186193522.0,be-tso-0001dis-00191exit
2019-12-23,200290967.0,be-tso-0001dis-00191exit
2019-12-24,179397503.0,be-tso-0001dis-00191exit
2019-12-25,187751360.0,be-tso-0001dis-00191exit
2019-12-26,221706638.0,be-tso-0001dis-00191exit
2019-12-27,205787072.0,be-tso-0001dis-00191exit
2019-12-28,215597091.0,be-tso-0001dis-00191exit
2019-12-29,238695447.0,be-tso-0001dis-00191exit
2019-12-30,242661456.0,be-tso-0001dis-00191exit
2019-12-31,241277956.0,be-tso-0001dis-00191exit
2020-01-01,255057123.0,be-tso-0001dis-00191exit
2020-01-02,268603758.0,be-tso-0001dis-00191exit
2020-01-03,240934224.0,be-tso-0001dis-00191exit
2020-01-04,231439761.0,be-tso-0001dis-00191exit
2020-01-05,228122411.0,be-tso-0001dis-00191exit
2020-01-06,255044584.0,be-tso-0001dis-00191exit
2020-01-07,254610374.0,be-tso-0001dis-00191exit
2020-01-08,214760958.0,be-tso-0001dis-00191exit
